OrderID,CustomerName,Product,UnitPrice,Quantity,OrderDate,Region
1000,Chris Brown,Tablet,300,7,11/09/23,North
1001,Mike Davis,Mouse,30,7,08/03/23,North
1002,Sara Khan,Laptop,800,4,12/13/2023,South
1003,Robert Black,Tablet,300,5,06/21/2023,East
1004,Chris Brown,Monitor,200,8,12/11/23,North
1005,Linda Green,Tablet,300,6,07/25/2023,North
1006,Emily White,Laptop,800,2,12/15/2023,North
1007,Sara Khan,Smartwatch,250,4,09/06/23,South
1008,John Doe,Headphones,100,3,08/31/2023,North
1009,Mike Davis,Tablet,300,9,03/24/2023,North
1010,John Doe,Monitor,200,2,08/01/23,North
1011,John Doe,Smartwatch,250,5,10/11/23,West
1012,Linda Green,Tablet,300,10,02/07/23,West
1013,Linda Green,Phone,500,1,05/24/2023,North
1014,Emily White,Smartwatch,250,7,04/25/2023,South
1015,Emily White,Mouse,30,3,02/05/23,North
1016,Jane Smith,Headphones,100,6,04/29/2023,West
1017,Chris Brown,Monitor,200,3,12/09/23,North
1018,Jane Smith,Keyboard,50,2,03/16/2023,South
1019,Chris Brown,Headphones,100,3,05/05/23,South
1020,Mike Davis,Mouse,30,4,03/17/2023,East
1021,Linda Green,Keyboard,50,8,06/16/2023,North
1022,Mike Davis,Headphones,100,10,08/07/23,South
1023,John Doe,Keyboard,50,1,04/19/2023,North
1024,Linda Green,Headphones,100,3,08/30/2023,West
1025,John Doe,Laptop,800,6,01/14/2023,North
1026,John Doe,Laptop,800,6,08/17/2023,East
1027,Chris Brown,Laptop,800,7,10/28/2023,North
1028,Robert Black,Laptop,800,2,02/20/2023,West
1029,Chris Brown,Keyboard,50,8,01/27/2023,East
1030,Linda Green,Laptop,800,7,05/07/23,West
1031,Emily White,Monitor,200,1,08/15/2023,West
1032,Sara Khan,Tablet,300,2,08/10/23,South
1033,Linda Green,Smartwatch,250,6,12/19/2023,West
1034,Chris Brown,Tablet,300,7,07/13/2023,South
1035,Robert Black,Monitor,200,4,12/21/2023,West
